Alter,Ratsmitglieder,Bev̦lkerung
18,0.0,13804
19,0.0,13577
20,0.0,14695
21,0.0,14690
22,0.0,15542
23,0.0,16533
24,0.0,17418
25,2.0,18395
26,1.0,19796
27,2.0,21449
28,1.0,23068
29,1.0,24101
30,2.0,25107
31,0.0,25390
32,4.0,25919
33,2.0,25786
34,5.0,25686
35,3.0,25744
36,4.0,25702
37,5.0,25147
38,6.0,25488
39,9.0,25213
40,11.0,25338
41,8.0,24227
42,15.0,23908
43,12.0,23051
44,18.0,22897
45,25.0,22379
46,23.0,22286
47,16.0,21882
48,25.0,21912
49,29.0,22639
50,37.0,22783
51,33.0,23074
52,34.0,23260
53,39.0,23118
54,40.0,23194
55,49.0,22846
56,39.0,22658
57,52.0,21854
58,43.0,20519
59,48.0,19733
60,39.0,18576
61,50.0,17705
62,38.0,16851
63,39.0,16210
64,34.0,15582
65,35.0,14773
66,28.0,14126
67,18.0,13506
68,23.0,13697
69,15.0,12946
70,15.0,13250
71,8.0,12750
72,4.0,12793
73,3.0,12700
74,6.0,12567
75,2.0,12156
76,0.0,11885
77,0.0,11378
78,0.0,10574
79,0.0,9912
80,0.0,8746
81,0.0,8160
82,0.0,7683
83,0.0,6876
84,0.0,6701
85,0.0,6184
86,0.0,5572
87,0.0,4837
88,0.0,4298
89,0.0,3759
90,0.0,3295
91,0.0,2713
92,0.0,2055
93,0.0,1669
94,0.0,1262
95,0.0,966
96,0.0,714
97,0.0,468
98,0.0,299
99,0.0,221
100,0.0,285
